Source,Target,Weight,Type
A Visit from St Nicholas,ClementClarkeMoore_A Trip to Saratoga,3,undirected
A Visit from St Nicholas,HenryLivingstonJr_The Crane & The Fox, a Fable,3,undirected
A Visit from St Nicholas,HenryLivingstonJr_The Vine & Oak A Fable,1,undirected
ClementClarkeMoore_A Song,ClementClarkeMoore_Old Santeclaus,1,undirected
ClementClarkeMoore_A Song,ClementClarkeMoore_To Southey,2,undirected
ClementClarkeMoore_A Song,HenryLivingstonJr_The Vine & Oak A Fable,3,undirected
ClementClarkeMoore_A Trip to Saratoga,A Visit from St Nicholas,3,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,1,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Cowper the Poet,3,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_Lines on the Sisters of Charity,2,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Organist,1,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Pig and the Rooster,3,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Water Drinker,5,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_The Wine Drinker,6,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To my Daughter, on her marriage,2,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To Southey,4,undirected
ClementClarkeMoore_A Trip to Saratoga,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,1,undirected
ClementClarkeMoore_A Trip to Saratoga,HenryLivingstonJr_Acknowledgement,2,undirected
ClementClarkeMoore_A Trip to Saratoga,HenryLivingstonJr_The Crane & The Fox, a Fable,3,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_A Trip to Saratoga,1,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_Cowper the Poet,2,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_The Wine Drinker,4,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,4,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_A Trip to Saratoga,3,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,2,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_To the Nymphs of Mount Harmony,1,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_Lines on the Sisters of Charity,1,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,2,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_To the Nymphs of Mount Harmony,3,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_The Water Drinker,1,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_To my Daughter, on her marriage,2,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_To Southey,3,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,ClementClarkeMoore_The Water Drinker,3,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,1,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,HenryLivingstonJr_The Vine & Oak A Fable,2,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_The Organist,2,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,3,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,1,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_A Trip to Saratoga,2,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,1,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_Lines written after a season of Yellow Fever,1,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To my Children, with my Potrait,1,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To my Daughter, on her marriage,6,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,1,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_Lines written after a season of Yellow Fever,1,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_Old Dobbin,2,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_To the Nymphs of Mount Harmony,3,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_Lines written after a season of Yellow Fever,1,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_The Wine Drinker,2,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_To Southey,3,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Lines on the Sisters of Charity,1,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,1,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,1,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_The Mischievous Muse,3,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_The Wine Drinker,3,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To a Lady,2,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To my Daughter, on her marriage,1,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To Southey,3,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,2,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,ClementClarkeMoore_To my Daughter, on her marriage,1,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,HenryLivingstonJr_Apostrophe,2,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,HenryLivingstonJr_The Vine & Oak A Fable,3,undirected
ClementClarkeMoore_Old Dobbin,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,2,undirected
ClementClarkeMoore_Old Dobbin,ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,3,undirected
ClementClarkeMoore_Old Dobbin,ClementClarkeMoore_To the Nymphs of Mount Harmony,2,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_The Vine & Oak A Fable,3,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_To My Little Niece Sally Livingston,1,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_To the Memory of Sarah Livingston,1,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_A Song,1,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,1,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_To the Nymphs of Mount Harmony,3,undirected
ClementClarkeMoore_Old Santeclaus,HenryLivingstonJr_The Vine & Oak A Fable,2,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_Old Santeclaus,1,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_To my Children, with my Potrait,4,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_To the Nymphs of Mount Harmony,3,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,HenryLivingstonJr_The Dance,2,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,HenryLivingstonJr_The IX Ode to Horace,3,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,ClementClarkeMoore_Old Dobbin,3,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,HenryLivingstonJr_Catharine Breese Livingston,1,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,HenryLivingstonJr_To the Memory of Sarah Livingston,2,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_Lines written after a season of Yellow Fever,3,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_The Wine Drinker,1,undirected
ClementClarkeMoore_The Mischievous Muse,HenryLivingstonJr_The Vine & Oak A Fable,3,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_A Trip to Saratoga,1,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,2,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_The Wine Drinker,3,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_To Petrosa,1,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_To Southey,2,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_A Trip to Saratoga,3,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_To Southey,1,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_To the Nymphs of Mount Harmony,2,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_A Trip to Saratoga,5,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_From a Husband to his Wife,1,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_Lines accompanying a Bunch of Flowers,3,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_The Wine Drinker,4,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_To a Young Lady, on her Birth-Day,1,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_To Southey,3,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_To the Nymphs of Mount Harmony,2,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_A Trip to Saratoga,6,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,4,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,2,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines written after a season of Yellow Fever,3,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_The Mischievous Muse,1,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_The Organist,3,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_The Water Drinker,4,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_To a Lady,3,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,3,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_Lines written after a season of Yellow Fever,2,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_The Wine Drinker,3,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,1,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_The Water Drinker,1,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_To the Nymphs of Mount Harmony,3,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,HenryLivingstonJr_To the Memory of Sarah Livingston,2,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_Lines on the Sisters of Charity,1,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,4,undirected
ClementClarkeMoore_To my Children, with my Potrait,HenryLivingstonJr_An Elegy on the Death of Montgomery Tappen,2,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_A Trip to Saratoga,2,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_From a Husband to his Wife,2,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_Lines on the Sisters of Charity,6,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_Lines written after a season of Yellow Fever,1,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_Lines Written After a Snow-storm,1,undirected
ClementClarkeMoore_To Petrosa,ClementClarkeMoore_The Organist,1,undirected
ClementClarkeMoore_To Petrosa,HenryLivingstonJr_The Procession,2,undirected
ClementClarkeMoore_To Petrosa,HenryLivingstonJr_The Vine & Oak A Fable,3,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_A Song,2,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_A Trip to Saratoga,4,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_From a Husband to his Wife,3,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,3,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_Lines written after a season of Yellow Fever,3,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_The Organist,2,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_The Pig and the Rooster,1,undirected
ClementClarkeMoore_To Southey,ClementClarkeMoore_The Water Drinker,3,undirected
ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,2,undirected
ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,ClementClarkeMoore_Lines accompanying a Bunch of Flowers,1,undirected
ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,3,undirected
ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,ClementClarkeMoore_Lines on the Sisters of Charity,1,undirected
ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,ClementClarkeMoore_Lines written after a season of Yellow Fever,2,undirected
